gid	code	height	h_stdev	vel	v_stdev	coherence	eff_area	cod_passaggio	ps	mov	the_geom
1031650	A6V0V	2730.57	1.71	0.72	0.7	0.68	0	1	1	None	0101000020787F0000F7122F061C2A1441F449E2DA4ACF5241
1031659	A7EGN	2892.49	1.86	1.13	0.75	0.6	0	1	1	None	0101000020787F00009F0EDE7A242A14416153744B28D15241
1031667	A7OZV	3002.77	1.6	0.19	0.65	0.77	0	1	1	None	0101000020787F00009BC0A74F402A1441FED5A28DF9D15241
1031668	A6KW1	2891.29	1.64	0.68	0.66	0.65	0	1	1	None	0101000020787F0000E39CAFB5082B14415725858044CE5241
1031675	A7EGS	2897.9	1.76	0.45	0.71	0.58	0	1	1	None	0101000020787F00000B2B0015BD2A1441207000172BD15241
1031688	A7EKG	2875.07	1.62	0.62	0.65	0.72	0	1	1	None	0101000020787F0000CE31A42A2B2B1441A500444E0DD15241
1031689	A7IL3	2865.07	1.64	-0.24	0.65	0.62	0	1	1	None	0101000020787F0000BC2CEA726B2B144100D40F497DD15241
1031690	A7IL6	2868.9	1.68	0.44	0.68	0.6	0	1	1	None	0101000020787F0000AB811DF6A42B1441214C6F5880D15241
1031696	A6KWZ	2857.83	1.76	-0.54	0.72	0.66	0	1	1	None	0101000020787F00006945172F5E2C14418B61CEC646CE5241
1031706	A7IMB	2891.5	1.59	0.4	0.63	0.72	0	1	1	None	0101000020787F00001E5C8A77172C144123F22FED88D15241
1257671	A7IL3	2086.17	1.25	-0.34	0.53	0.7	8611	2	None	None	0101000020787F0000AFFB9447E5501741B01E397DF4A55241
1620686	A6KW1	460.82	1.09	0.19	0.48	0.65	4697	5	None	None	0101000020787F0000CA79FD8EDBC518410A60EF708DCB5241
1706267	A6KWZ	1703.5	1.38	-0.18	0.62	0.54	2399	6	None	None	0101000020787F0000AE553B2A78EE18417DA3849A90A65241
1839168	A7OZV	2513.9	1.64	-0.79	0.65	0.6	7585	8	None	None	0101000020787F000034E16AFFD95215416244491546F75241
1928041	A6KWZ	474.88	1.98	-0.76	0.77	0.67	6263	8	None	None	0101000020787F0000546FB0293E5716415B74CC2065F75241
1955474	A7IMB	371.69	2.07	0.73	0.81	0.89	1027	8	None	None	0101000020787F00006F4BC12F88A51641C2590ECB48FA5241
