code	dataripresa	valore	id	cod_passaggio
A6KW1	20030317	0.0	147422715	5
A6KW1	20030410	-8.33	147480235	5
A6KW1	20030504	-9.18	147537755	5
A6KW1	20030528	3.3	147595275	5
A6KW1	20030621	8.92	147652795	5
A6KW1	20030715	14.85	147710315	5
A6KW1	20030808	18.14	147767835	5
A6KW1	20030901	16.24	147825355	5
A6KW1	20030918	0.0	94835613	1
A6KW1	20030925	17.15	147882875	5
A6KW1	20031012	0.12	94981147	1
A6KW1	20031019	19.94	147940395	5
A6KW1	20031105	-8.35	95126681	1
A6KW1	20031112	-6.01	147997915	5
A6KW1	20031129	-7.8	95272215	1
A6KW1	20031206	15.37	148055435	5
A6KW1	20031223	-8.58	95417749	1
A6KW1	20031230	18.38	148112955	5
A6KW1	20040116	-9.55	95563283	1
A6KW1	20040123	11.57	148170475	5
A6KW1	20040209	-13.8	95708817	1
A6KW1	20040216	15.04	148227995	5
A6KW1	20040404	22.04	148285515	5
A6KW1	20040421	-9.39	95854351	1
A6KW1	20040702	-12.45	95999885	1
A6KW1	20040709	9.92	148343035	5
A6KW1	20040726	-6.39	96145419	1
A6KW1	20040802	12.93	148400555	5
A6KW1	20040819	-10.67	96290953	1
A6KW1	20040826	12.14	148458075	5
A6KW1	20040912	-11.98	96436487	1
A6KW1	20040919	13.2	148515595	5
A6KW1	20041006	-12.48	96582021	1
A6KW1	20041013	8.25	148573115	5
A6KW1	20041030	-15.48	96727555	1
A6KW1	20041106	12.3	148630635	5
A6KW1	20041130	10.64	148688155	5
A6KW1	20041217	-9.67	96873089	1
A6KW1	20041224	11.48	148745675	5
A6KW1	20050110	-6.54	97018623	1
A6KW1	20050117	11.85	148803195	5
A6KW1	20050203	-11.61	97164157	1
A6KW1	20050227	-13.66	97309691	1
A6KW1	20050323	-15.9	97455225	1
A6KW1	20050330	5.84	148860715	5
A6KW1	20050416	-17.46	97600759	1
A6KW1	20050423	11.14	148918235	5
A6KW1	20050510	-18.92	97746293	1
A6KW1	20050517	8.98	148975755	5
A6KW1	20050603	-9.72	97891827	1
A6KW1	20050610	10.48	149033275	5
A6KW1	20050627	-8.12	98037361	1
A6KW1	20050704	7.59	149090795	5
A6KW1	20050721	-4.24	98182895	1
A6KW1	20050728	7.2	149148315	5
A6KW1	20050814	-9.01	98328429	1
A6KW1	20050821	12.15	149205835	5
A6KW1	20050907	-11.85	98473963	1
A6KW1	20050914	4.17	149263355	5
A6KW1	20051001	-6.68	98619497	1
A6KW1	20051008	5.43	149320875	5
A6KW1	20051025	-13.63	98765031	1
A6KW1	20051101	3.65	149378395	5
A6KW1	20051118	1.43	98910565	1
A6KW1	20051125	9.25	149435915	5
A6KW1	20051212	-7.31	99056099	1
A6KW1	20051219	10.89	149493435	5
A6KW1	20060105	-9.84	99201633	1
A6KW1	20060129	-11.46	99347167	1
A6KW1	20060205	10.46	149550955	5
A6KW1	20060222	-8.88	99492701	1
A6KW1	20060301	7.29	149608475	5
A6KW1	20060318	-1.72	99638235	1
A6KW1	20060325	8.02	149665995	5
A6KW1	20060411	-15.85	99783769	1
A6KW1	20060418	4.4	149723515	5
A6KW1	20060505	-7.06	99929303	1
A6KW1	20060512	5.28	149781035	5
A6KW1	20060529	-9.74	100074837	1
A6KW1	20060605	5.33	149838555	5
A6KW1	20060622	-6.98	100220371	1
A6KW1	20060629	6.53	149896075	5
A6KW1	20060723	14.73	149953595	5
A6KW1	20060909	6.51	150011115	5
A6KW1	20060926	-14.48	100365905	1
A6KW1	20061003	4.53	150068635	5
A6KW1	20061020	-16.44	100511439	1
A6KW1	20061027	6.56	150126155	5
A6KW1	20061113	-3.62	100656973	1
A6KW1	20061120	4.68	150183675	5
A6KW1	20061207	-15.53	100802507	1
A6KW1	20061214	4.2	150241195	5
A6KW1	20061231	-0.51	100948041	1
A6KW1	20070107	7.65	150298715	5
A6KW1	20070124	-4.85	101093575	1
A6KW1	20070131	6.2	150356235	5
A6KW1	20070217	-11.95	101239109	1
A6KW1	20070224	9.66	150413755	5
A6KW1	20070313	-8.54	101384643	1
A6KW1	20070320	5.33	150471275	5
A6KW1	20070406	-12.6	101530177	1
A6KW1	20070413	9.68	150528795	5
A6KW1	20070430	-7.26	101675711	1
A6KW1	20070507	8.87	150586315	5
A6KW1	20070524	-5.92	101821245	1
A6KW1	20070531	7.34	150643835	5
A6KW1	20070904	6.87	150701355	5
A6KW1	20070921	-5.69	101966779	1
A6KW1	20070928	5.68	150758875	5
A6KW1	20071015	-4.77	102112313	1
A6KW1	20071022	7.41	150816395	5
A6KW1	20071108	-5.43	102257847	1
A6KW1	20071202	-7.22	102403381	1
A6KW1	20071209	9.06	150873915	5
A6KW1	20071226	-10.81	102548915	1
A6KW1	20080102	8.33	150931435	5
A6KW1	20080119	-11.0	102694449	1
A6KW1	20080126	6.88	150988955	5
A6KW1	20080307	4.16	102839983	1
A6KW1	20080314	7.13	151046475	5
A6KW1	20080407	6.59	151103995	5
A6KW1	20080424	-9.54	102985517	1
A6KW1	20080501	7.74	151161515	5
