code	dataripresa	valore	id	cod_passaggio
A6KWZ	20030304	0.0	17194843	13
A6KWZ	20030328	1.13	17253169	13
A6KWZ	20030421	11.34	17311495	13
A6KWZ	20030515	1.31	17369821	13
A6KWZ	20030608	1.57	17428147	13
A6KWZ	20030726	3.2	17486473	13
A6KWZ	20030819	4.4	17544799	13
A6KWZ	20030912	13.33	17603125	13
A6KWZ	20031123	1.97	17661451	13
A6KWZ	20040110	-1.57	17719777	13
A6KWZ	20040203	7.31	17778103	13
A6KWZ	20040415	9.8	17836429	13
A6KWZ	20040720	6.7	17894755	13
A6KWZ	20040906	7.99	17953081	13
A6KWZ	20040930	4.79	18011407	13
A6KWZ	20041024	2.9	18069733	13
A6KWZ	20041117	0.88	18128059	13
A6KWZ	20050104	8.51	18186385	13
A6KWZ	20050128	3.28	18244711	13
A6KWZ	20050221	-8.67	18303037	13
A6KWZ	20050317	4.72	18361363	13
A6KWZ	20050504	6.04	18419689	13
A6KWZ	20050715	3.95	18478015	13
A6KWZ	20050808	3.48	18536341	13
A6KWZ	20050901	3.43	18594667	13
A6KWZ	20050925	2.43	18652993	13
A6KWZ	20051019	2.0	18711319	13
A6KWZ	20051206	0.11	18769645	13
A6KWZ	20051230	2.89	18827971	13
A6KWZ	20060123	3.62	18886297	13
A6KWZ	20060216	0.23	18944623	13
A6KWZ	20060312	0.1	19002949	13
A6KWZ	20060429	4.29	19061275	13
A6KWZ	20060523	2.97	19119601	13
A6KWZ	20060616	8.05	19177927	13
A6KWZ	20060827	5.0	19236253	13
A6KWZ	20060920	2.87	19294579	13
A6KWZ	20061014	2.75	19352905	13
A6KWZ	20061107	3.01	19411231	13
A6KWZ	20061201	6.27	19469557	13
A6KWZ	20061225	2.13	19527883	13
A6KWZ	20070118	1.54	19586209	13
A6KWZ	20070211	3.66	19644535	13
A6KWZ	20070331	9.28	19702861	13
A6KWZ	20070424	4.15	19761187	13
A6KWZ	20070518	4.73	19819513	13
A6KWZ	20070611	3.52	19877839	13
A6KWZ	20071126	7.13	19936165	13
A6KWZ	20080206	4.28	19994491	13
A6KWZ	20080301	6.85	20052817	13
A6KWZ	20080325	0.96	20111143	13
A6KWZ	20080512	4.02	20169469	13
A6KWZ	20080629	6.65	20227795	13
A6KWZ	20080723	3.98	20286121	13
A6KWZ	20080816	3.58	20344447	13
A6KWZ	20080909	5.8	20402773	13
A6KWZ	20081027	0.64	20461099	13
A6KWZ	20081214	-1.08	20519425	13
A6KWZ	20090107	-9.98	20577751	13
A6KWZ	20090131	12.92	20636077	13
A6KWZ	20090224	7.64	20694403	13
A6KWZ	20090507	5.83	20752729	13
A6KWZ	20090718	5.56	20811055	13
A6KWZ	20090811	7.16	20869381	13
A6KWZ	20090904	14.1	20927707	13
A6KWZ	20090928	9.66	20986033	13
A6KWZ	20091209	4.37	21044359	13
A7EGN	20030414	0.0	10997741	10
A7EGN	20030508	-0.45	11081819	10
A7EGN	20030601	1.38	11165897	10
A7EGN	20030625	-0.85	11249975	10
A7EGN	20030719	-0.02	11334053	10
A7EGN	20030812	-0.21	11418131	10
A7EGN	20030905	-0.66	11502209	10
A7EGN	20030929	0.56	11586287	10
A7EGN	20031023	1.2	11670365	10
A7EGN	20031116	-2.0	11754443	10
A7EGN	20031210	3.96	11838521	10
A7EGN	20040103	-2.99	11922599	10
A7EGN	20040127	-6.18	12006677	10
A7EGN	20040220	-0.72	12090755	10
A7EGN	20040408	-4.97	12174833	10
A7EGN	20040713	-6.19	12258911	10
A7EGN	20040830	-3.09	12342989	10
A7EGN	20040923	-2.98	12427067	10
A7EGN	20041017	2.62	12511145	10
A7EGN	20041110	-3.7	12595223	10
A7EGN	20041228	-2.43	12679301	10
A7EGN	20050121	-3.63	12763379	10
A7EGN	20050214	-1.8	12847457	10
A7EGN	20050310	-1.16	12931535	10
A7EGN	20050427	-4.95	13015613	10
A7EGN	20050521	-4.97	13099691	10
A7EGN	20050614	-2.15	13183769	10
A7EGN	20050801	0.22	13267847	10
A7EGN	20050825	-4.07	13351925	10
A7EGN	20050918	-2.71	13436003	10
A7EGN	20051012	-1.36	13520081	10
A7EGN	20051105	-3.45	13604159	10
A7EGN	20051129	-5.24	13688237	10
A7EGN	20051223	-1.17	13772315	10
A7EGN	20060116	-0.38	13856393	10
A7EGN	20060209	-3.14	13940471	10
A7EGN	20060305	-1.64	14024549	10
A7EGN	20060329	-2.72	14108627	10
A7EGN	20060516	-3.23	14192705	10
A7EGN	20060609	1.97	14276783	10
A7EGN	20060727	-2.05	14360861	10
A7EGN	20061007	-3.8	14444939	10
A7EGN	20061031	2.04	14529017	10
A7EGN	20061124	0.51	14613095	10
A7EGN	20061218	1.94	14697173	10
A7EGN	20070111	-1.8	14781251	10
A7EGN	20070204	-1.87	14865329	10
A7EGN	20070228	-0.99	14949407	10
A7EGN	20070324	-3.05	15033485	10
A7EGN	20070417	-1.72	15117563	10
A7EGN	20070511	-2.45	15201641	10
A7EGN	20070604	0.15	15285719	10
A7EGN	20070908	-1.01	15369797	10
A7EGN	20071026	-0.63	15453875	10
A7EGN	20071119	7.42	15537953	10
A7EGN	20071213	-1.37	15622031	10
A7EGN	20080106	-0.63	15706109	10
A7EGN	20080130	-1.07	15790187	10
A7EGN	20080505	0.69	15874265	10
A7EGN	20080529	-1.35	15958343	10
A7EGN	20080622	-0.8	16042421	10
A7EGN	20080716	-3.63	16126499	10
A7EGN	20080926	-1.69	16210577	10
A7EGN	20081020	0.65	16294655	10
A7EGN	20081113	-0.51	16378733	10
A7EGN	20090124	0.84	16462811	10
A7EGN	20090217	-4.55	16546889	10
A7EGN	20090430	-3.58	16630967	10
A7EGN	20090711	0.93	16715045	10
A7EGN	20090804	-6.03	16799123	10
A7EGN	20090828	-1.96	16883201	10
A7EGN	20090921	-1.12	16967279	10
A7EGN	20091108	4.76	17051357	10
A7EGN	20091202	-4.36	17135435	10
A7EKG	20030414	0.0	26424178	16
A7EKG	20030414	0.0	10996822	10
A7EKG	20030508	-0.54	11080900	10
A7EKG	20030508	-5.62	26560543	16
A7EKG	20030601	0.93	11164978	10
A7EKG	20030601	-6.46	26696908	16
